;Calories (kcal);Calories burned (kcal);Fat (g);Saturated (g);Polyunsaturated (g);Monounsaturated (g);Trans (g);Cholesterol (mg);Salt (g);Sodium (mg);Potassium (mg);Carbohydrate (g);Net carbs (g);Dietary fiber (g);Sugars (g);Sugar alcohols (g);Protein (g);Vitamin A (%);Vitamin C (%);Calcium (%);Iron (%);Magnesium (mg)
15/12/2021;1689;0;70;1;0;0;0;0;1;280;0;111;93;18;16;0;161;0;0;0;0;0
14/12/2021;1752;0;70;19;0;0;0;0;1;156;358;118;118;7;28;0;155;0;0;0;0;0
13/12/2021;1655;0;70;41;0;0;0;0;0;2181;0;142;120;23;23;0;160;0;0;0;0;0
12/12/2021;1434;0;87;18;0;0;0;0;0;111;1174;54;48;6;19;0;151;14;123;8;8;0
11/12/2021;1143;0;46;1;0;0;0;0;1;5;174;54;45;9;6;0;133;0;8;2;2;0
10/12/2021;1369;0;46;22;0;0;0;0;6;0;0;79;47;33;1;0;165;0;0;0;0;0
9/12/2021;1552;0;55;22;0;0;0;0;6;0;0;89;57;33;1;0;184;0;0;0;0;0
8/12/2021;1726;0;62;22;0;0;0;0;6;400;0;100;68;33;1;0;206;0;0;0;0;0
7/12/2021;1665;0;97;28;0;0;0;0;1;5;0;53;31;22;8;0;138;0;0;0;0;0
6/12/2021;1816;0;74;18;0;0;0;0;2;2;716;119;91;28;46;0;162;0;0;0;0;0
5/12/2021;1714;0;68;16;0;0;0;0;0;0;0;90;60;30;7;0;181;0;0;0;0;0
4/12/2021;1599;0;62;18;0;0;0;0;1;0;0;61;54;7;1;0;146;0;0;0;0;0
3/12/2021;1623;0;58;17;0;0;0;0;1;1;358;123;99;23;24;0;150;0;0;0;0;0
2/12/2021;1707;0;73;6;0;0;0;0;7;10;388;91;51;40;7;0;175;18;40;2;6;0
1/12/2021;1556;0;71;9;0;0;0;0;4;10;388;109;79;30;33;0;118;18;40;2;6;0
30/11/2021;1997;0;113;8;0;0;0;0;1;1;358;92;73;19;45;0;154;18;46;3;8;0
29/11/2021;1609;0;79;1;0;0;0;0;1;7;260;93;86;7;30;0;137;9;23;2;4;0
28/11/2021;1626;0;56;14;0;0;0;0;1;8;716;145;132;13;85;0;137;0;0;0;0;0
27/11/2021;1540;0;66;34;0;0;0;0;1;947;225;88;84;4;4;0;147;0;11;3;3;0
26/11/2021;1588;0;72;24;1;1;0;0;1;217;628;96;89;7;33;0;138;0;13;4;4;0
25/11/2021;1605;0;46;20;0;0;0;0;2;3;111;136;115;21;14;0;159;0;5;2;2;0
24/11/2021;1580;0;39;1;0;0;0;0;1;284;672;156;128;28;57;0;151;12;262;11;2;0
23/11/2021;1672;0;66;12;0;0;0;0;4;15;1235;117;87;30;56;0;154;18;46;3;8;0
22/11/2021;1545;0;66;18;0;0;0;0;5;0;0;92;68;24;21;0;149;0;0;0;0;0
21/11/2021;1581;0;86;16;0;0;0;0;0;0;0;66;56;10;40;0;134;0;0;0;0;0
20/11/2021;1298;0;45;21;0;0;0;0;1;0;0;132;125;7;17;0;88;0;0;0;0;0
19/11/2021;1666;0;65;7;0;0;0;0;3;410;387;112;80;34;21;0;157;18;40;2;6;0
18/11/2021;1603;0;74;24;0;0;0;0;1;5;194;62;51;12;28;0;165;9;20;1;3;0
17/11/2021;1804;0;61;19;0;0;0;0;1;6;226;171;143;28;13;0;152;3;10;4;4;0
16/11/2021;1871;0;61;4;0;0;0;0;0;163;0;203;186;16;8;0;122;0;0;0;0;0
15/11/2021;1550;0;64;1;0;0;0;0;1;0;0;155;148;7;1;0;84;0;0;0;0;0
14/11/2021;1922;0;46;27;0;0;0;0;1;0;0;231;218;13;175;0;142;0;0;0;0;0
13/11/2021;1821;0;69;35;0;0;0;0;1;401;358;133;116;17;23;0;176;0;0;0;0;0
12/11/2021;1756;0;64;2;0;0;0;0;2;6;861;115;94;21;47;0;189;7;15;1;2;0
11/11/2021;1801;0;100;34;0;0;0;0;2;13;519;76;59;17;10;0;158;18;46;3;8;0
10/11/2021;1761;0;72;14;0;0;0;0;7;0;0;131;110;21;15;0;147;0;0;0;0;0
9/11/2021;1625;0;69;16;1;7;0;0;0;1;358;123;105;18;38;0;116;0;0;0;0;0
8/11/2021;1798;0;80;11;0;0;0;0;4;1;358;147;129;18;24;0;114;0;0;0;0;0
7/11/2021;1482;0;56;25;1;7;0;0;1;150;0;112;81;32;33;0;118;0;0;0;0;0
6/11/2021;1809;0;54;30;0;0;0;0;0;2583;254;239;237;3;28;0;95;0;4;1;1;0
5/11/2021;1628;0;78;22;1;7;0;0;1;240;290;94;66;28;32;0;140;13;30;1;5;0
4/11/2021;1587;0;63;6;0;0;0;0;1;4;150;115;97;19;21;0;133;0;7;2;2;0
3/11/2021;2139;0;69;21;0;0;0;0;5;1;358;261;244;17;102;0;117;0;7;2;2;0
2/11/2021;1598;0;50;21;0;0;0;0;0;1;358;129;123;6;48;0;148;0;0;0;0;0
1/11/2021;1691;0;70;19;0;0;0;0;2;806;210;129;115;14;61;0;142;0;10;3;3;0
31/10/2021;1534;0;60;19;0;0;0;0;0;1;358;91;91;3;9;0;159;0;0;0;0;0
30/10/2021;1801;0;54;19;0;0;0;0;0;523;105;192;162;29;79;0;139;0;5;1;1;0
29/10/2021;1659;0;34;6;2;14;0;0;1;162;403;218;192;27;49;0;135;13;2;1;1;0
28/10/2021;1576;0;54;20;0;0;0;0;0;1200;0;148;133;15;52;0;119;0;0;0;0;0
27/10/2021;1603;0;52;18;0;0;0;0;0;1;358;163;160;3;39;0;111;0;0;0;0;0
26/10/2021;1603;0;44;25;0;0;0;0;13;440;0;142;134;8;36;0;150;0;0;0;0;0
25/10/2021;1645;0;42;2;0;0;0;0;1;565;829;165;136;29;43;0;161;0;5;2;2;0
24/10/2021;1598;0;62;8;0;0;0;0;1;2951;258;129;100;29;21;0;160;0;312;3;3;0
23/10/2021;1600;0;62;2;0;0;0;0;0;717;86;109;100;9;7;0;160;0;104;1;1;0
22/10/2021;1601;0;62;7;2;7;0;53;1;1;358;114;100;14;20;0;160;0;8;2;2;0
21/10/2021;1601;0;62;6;2;7;0;53;0;9;402;103;100;2;17;0;160;13;32;2;5;0
20/10/2021;1595;0;69;8;3;14;0;53;1;151;45;108;97;12;11;0;139;0;2;1;1;0
19/10/2021;1621;0;61;1;0;0;0;0;1;1;45;91;83;8;9;0;187;0;2;1;1;0
18/10/2021;1612;0;54;19;1;7;0;0;1;126;861;161;150;11;37;0;152;7;15;1;2;0
17/10/2021;1575;0;63;2;0;0;0;0;2;280;0;124;109;14;9;0;116;0;0;0;0;0
16/10/2021;1841;0;90;12;0;0;0;0;1;6;225;148;135;13;12;0;129;0;11;3;3;0
15/10/2021;1658;0;64;1;1;7;0;0;0;713;113;104;102;2;15;0;160;0;5;2;2;0
14/10/2021;1630;0;45;19;1;7;0;0;0;1556;225;187;160;27;49;0;120;0;11;3;3;0
13/10/2021;1629;0;75;17;0;0;0;0;1;18;694;90;80;10;25;0;156;22;60;5;11;0
12/10/2021;1606;0;72;1;0;0;0;0;1;0;0;94;87;7;10;0;147;0;0;0;0;0
11/10/2021;1595;0;65;19;0;0;0;0;4;8;958;118;91;27;38;0;143;11;25;1;4;0
10/10/2021;1801;0;75;23;0;0;0;0;5;58;57;116;89;27;21;0;177;0;0;0;0;0
9/10/2021;1618;0;64;8;2;7;0;53;2;0;0;146;128;18;16;0;118;0;0;0;0;0
8/10/2021;1942;0;91;2;0;0;0;0;2;4;358;93;79;14;9;0;184;0;0;0;0;0
7/10/2021;1601;0;79;18;0;0;0;0;2;1;358;95;78;17;14;0;143;0;0;0;0;0
